MBD2	ENHA_8_128521000_128522000_HINFP
TFAP4	ENHA_8_128522000_128523000_FOXA1
TFAP4	ENHA_8_128507000_128508000_FOXA1
TFAP4	ENHA_8_128293000_128294000_FOXA1
TFAP4	ENHA_8_128228000_128229000_FOXA1
TFAP4	ENHA_8_128227000_128228000_FOXA1
TFAP4	ENHA_8_128116000_128117000_FOXA1
TFAP4	ENHA_8_128116000_128117000_FOXK2
TFAP4	ENHA_8_128056000_128057000_FOXK2
TFAP4	ENHA_8_128055000_128056000_FOXA1
TFAP4	ENHA_8_128031000_128032000_FOXA1
TFAP4	ENHA_8_127948000_127949000_FOXA1
TFAP4	ENHA_8_127940000_127941000_FOXA1
TFAP4	ENHA_8_127939000_127940000_FOXA1
TFAP4	ENHA_8_127938000_127939000_FOXA1
TFAP4	ENHA_8_127937000_127938000_FOXA1
TFAP4	ENHA_8_127926000_127927000_FOXA1
TFAP4	ENHA_8_127909000_127910000_FOXA1
TFAP4	ENHA_8_127909000_127910000_FOXK2
TFAP4	ENHA_8_127908000_127909000_FOXA1
TFAP4	ENHA_8_127882000_127883000_FOXA1
NFIC	ENHA_8_128599000_128600000_FOXA1
NFIC	ENHA_8_128598000_128599000_FOXA1
NFIC	ENHA_8_128532000_128533000_FOXA1
NFIC	ENHA_8_128531000_128532000_FOXA1
NFIC	ENHA_8_128522000_128523000_FOXA1
NFIC	ENHA_8_128507000_128508000_FOXA1
NFIC	ENHA_8_128293000_128294000_FOXA1
NFIC	ENHA_8_128284000_128285000_NFIB
NFIC	ENHA_8_128228000_128229000_FOXA1
NFIC	ENHA_8_128227000_128228000_FOXA1
NFIC	ENHA_8_128116000_128117000_FOXA1
NFIC	ENHA_8_128055000_128056000_FOXA1
NFIC	ENHA_8_128054000_128055000_NFIB
NFIC	ENHA_8_127948000_127949000_FOXA1
NFIC	ENHA_8_127944000_127945000_NFIB
NFIC	ENHA_8_127940000_127941000_FOXA1
NFIC	ENHA_8_127939000_127940000_FOXA1
NFIC	ENHA_8_127938000_127939000_FOXA1
NFIC	ENHA_8_127937000_127938000_FOXA1
NFIC	ENHA_8_127927000_127928000_NFIB
NFIC	ENHA_8_127926000_127927000_FOXA1
NFIC	ENHA_8_127909000_127910000_FOXA1
NFIC	ENHA_8_127908000_127909000_FOXA1
NFIC	ENHA_8_127896000_127897000_NFIB
NFIC	ENHA_8_127891000_127892000_NFIB
NFIC	ENHA_8_127882000_127883000_FOXA1
KDM5B	ENHA_8_128532000_128533000_PAX9
KDM5B	ENHA_8_128230000_128231000_CTCF
KDM5B	ENHA_8_127937000_127938000_CTCF
KDM5B	ENHA_8_127926000_127927000_PAX9
KDM5B	ENHA_8_127926000_127927000_CTCF
KDM5B	ENHA_8_127891000_127892000_PAX9
KDM5B	ENHA_8_127891000_127892000_CTCF
KDM5B	ENHA_8_127839000_127840000_CTCF
CITED2	ENHA_8_127908000_127909000_TFAP2C
PNKP	ENHA_8_128230000_128231000_FOXO3
PNKP	ENHA_8_128116000_128117000_FOXO3
PNKP	ENHA_8_128031000_128032000_FOXO3
PNKP	ENHA_8_127942000_127943000_SMAD5
PNKP	ENHA_8_127909000_127910000_FOXO3
PNKP	ENHA_8_127839000_127840000_SMAD5
DDX5	ENHA_8_127942000_127943000_SMAD5
DDX5	ENHA_8_127839000_127840000_SMAD5
SREBF2	ENHA_8_128230000_128231000_EGR1
SREBF2	ENHA_8_128115000_128116000_EGR1
CHD8	ENHA_8_128230000_128231000_CTCF
CHD8	ENHA_8_127937000_127938000_CTCF
CHD8	ENHA_8_127926000_127927000_CTCF
CHD8	ENHA_8_127891000_127892000_CTCF
CHD8	ENHA_8_127839000_127840000_CTCF
WWP1	ENHA_8_128344000_128345000_KLF2
WWP1	ENHA_8_128344000_128345000_KLF5
WWP1	ENHA_8_128343000_128344000_KLF2
WWP1	ENHA_8_128343000_128344000_KLF5
WWP1	ENHA_8_127945000_127946000_KLF2
WWP1	ENHA_8_127944000_127945000_KLF2
WWP1	ENHA_8_127942000_127943000_SMAD5
WWP1	ENHA_8_127940000_127941000_KLF2
WWP1	ENHA_8_127939000_127940000_KLF2
WWP1	ENHA_8_127939000_127940000_KLF5
WWP1	ENHA_8_127936000_127937000_KLF2
WWP1	ENHA_8_127936000_127937000_KLF5
