promoter	protein	is_enhancer	is_promoter	is_intermediate	X-graph-coord	Y-graph-coord	degree	expression_log2FoldChange	expression_padj	SNP-binding	Betweenness_global	Degree_global	Betweenness_in_cluster	Betweenness_out_cluster	Betweenness_enrichment	Degree_in_cluster	Degree_out_cluster	Degree_enrichment	Betweenness_enrichment_pval	Degree_enrichment_pval	fisher_test_OR	fisher_test_pval
PDE3B	ENHA_ZBTB18	True	False	False	1.1333333333333335	0.9508474576271189	1	-0.434969739122538	0.0422253253147413	False											0.425266687851264	1.08604422191945e-20
PDE3B	ENHA_RXRB	True	False	False	1.1666666666666667	0.5406779661016949	6	1.20101849216797	1.7279579237566198e-27	False											0.334073591496315	3.780397282757081e-13
PDE3B	ENHA_SMAD3	True	False	False	1.1	0.5779661016949154	41	-2.16165222493266	8.320005204690681e-58	False											0.42902842796984	1.05746447719995e-05
PDE3B	ENHA_NR3C1	True	False	False	1.1666666666666667	0.20508474576271185	20	-6.23960996901591	1.08927040904652e-119	False											0.4206607214689225	4.632794399177281e-19
PDE3B	ENHA_MYB	True	False	False	1.1333333333333335	-0.055932203389830626	9	-2.37830081095658	6.25075955829769e-06	False											0.455665116759385	3.8434548740459894e-11
PDE3B	ENHA_ELF3	True	False	False	1.1	-0.876271186440678	3	1.20019564579332	1.62568910285003e-17	False											0.394238614475368	3.72951429696697e-30
PDE3B	ENHA_E2F1	True	False	False	1.1333333333333335	-1.0627118644067797	13	-1.58598313818408	1.07173313586322e-50	False											0.363961142105442	8.41832320072924e-21
PDE3B	ENHA_FOXP1	True	False	False	1.1333333333333335	-0.7271186440677967	6	1.23058638748909	9.34625524205785e-17	False											0.533110361424171	6.40487273887354e-16
PDE3B	ENHA_ZNF24	True	False	False	1.1333333333333335	1.0627118644067797	3	0.796823491162963	3.1275123863905497e-26	False											0.437616327480783	2.33029279271035e-17
PDE3B	ENHA_MEF2A	True	False	False	1.1333333333333335	-0.2796610169491526	20	-1.40227039880436	1.06339595756953e-41	False											0.500379549232182	1.18982140509126e-17
PDE3B	ENHA_MSX1	True	False	False	1.1666666666666667	-0.13050847457627124	2	4.2854018223603	4.47639393498334e-27	False											0.403116127518717	1.222483308368015e-06
PDE3B	ENHA_HSF2	True	False	False	1.1	-0.5406779661016949	3	-0.687172691423652	0.0004880472404334	False											0.403437010607224	3.10645704532031e-14
PDE3B	ENHA_NR2F1	True	False	False	1.1333333333333335	0.16779661016949143	4	2.15204275920652	0.261152651338228	False											0.530962456873716	1.1797659477372127e-12
PDE3B	ENHA_KLF4	True	False	False	1.1	-0.4288135593220339	7	-4.0236383329462	1.2985292682091302e-211	False											0.377880152518238	3.2109085826710504e-35
PDE3B	ENHA_MEF2C	True	False	False	1.1666666666666667	-0.24237288135593227	10	1.46699496505546	0.582772779974055	False											0.484974679503271	1.20329722773818e-17
PDE3B	ENHA_MAX	True	False	False	1.1666666666666667	-0.3542372881355933	16	0.371354138784978	0.0003333213229736	False											0.4267632639276715	5.274312104845875e-20
PDE3B	ENHA_TFDP1	True	False	False	1.1333333333333335	0.8389830508474576	11	-1.49951127569777	7.75563052587775e-94	False											0.369376666944153	3.29645240239027e-12
PDE3B	ENHA_PRDM4	True	False	False	1.1333333333333335	0.3915254237288135	2	-1.11032437821805	2.54671140550143e-21	False											0.396096687410736	2.7341542005181204e-25
PDE3B	ENHA_CLOCK	True	False	False	1.1	-1.1	4	-1.04774665164378	1.61282064181663e-22	False											0.37297156136996346	1.936297214947056e-10
PDE3B	ENHA_NFATC3	True	False	False	1.1666666666666667	-0.01864406779661021	2	0.548181206572617	2.53394364796607e-07	False											0.34277392316719	6.29538518502682e-23
PDE3B	ENHA_FOXA1	True	False	False	1.1333333333333335	-0.8389830508474577	5	5.7014164002563	0.0	False											0.443148306488692	6.3849479132804905e-24
PDE3B	ENHA_MITF	True	False	False	1.1333333333333335	-0.16779661016949154	2	-0.96082560983642	0.000310367907514	False											0.27970320046082797	2.2276625647382815e-17
PDE3B	ENHA_SPIB	True	False	False	1.1666666666666667	0.652542372881356	2	-1.0201436715832	0.760095716867361	False											0.496561043028022	7.07135273927879e-19
PDE3B	ENHA_TFAP2A	True	False	False	1.1	0.8016949152542372	21	-3.2635472309405	5.28479283829799e-135	False											0.429595759115394	7.45782579149526e-27
PDE3B	ENHA_REL	True	False	False	1.1666666666666667	0.4288135593220339	15	-2.46080604113086	7.93735410976565e-55	False											0.362189428907075	1.7304331171736402e-15
PDE3B	ENHA_FOXK2	True	False	False	1.1666666666666667	-0.8016949152542374	12	-0.810549760351143	8.7594450497324e-24	False											0.44681740571935447	2.782656159517204e-13
PDE3B	ENHA_GABPA	True	False	False	1.1666666666666667	-0.6898305084745764	6	1.45005565467442	2.0852722753028797e-36	False											0.37416922699642696	1.2919938461258048e-28
PDE3B	ENHA_NFATC4	True	False	False	1.1	0.01864406779661021	7	-0.710503498140033	0.0854050478704199	False											0.413759094562263	4.34145330552791e-15
PDE3B	ENHA_E2F6	True	False	False	1.1	-0.9881355932203391	9	-0.254228650675088	0.250420646955463	False											0.435155209923257	1.89519220141771e-19
PDE3B	ENHA_MAZ	True	False	False	1.1	-0.3169491525423729	7	1.17636897308062	2.95636464524114e-88	False											0.411194285640157	3.1484048896833303e-23
PDE3B	ENHA_TEAD1	True	False	False	1.1	0.6898305084745764	2	-3.09819901379961	1.5394834772998e-296	False											0.31292320345125646	8.973828919856561e-35
