promoter	protein	is_enhancer	is_promoter	is_intermediate	X-graph-coord	Y-graph-coord	degree	expression_log2FoldChange	expression_padj	SNP-binding	Betweenness_global	Degree_global	Betweenness_in_cluster	Betweenness_out_cluster	Betweenness_enrichment	Degree_in_cluster	Degree_out_cluster	Degree_enrichment	Betweenness_enrichment_pval	Degree_enrichment_pval	fisher_test_OR	fisher_test_pval
VDAC2	ENHA_SNAI2	True	False	False	1.1333333333333335	0.47948717948717956	4	-7.39045172449115	2.3935402877077702e-54	False											51.8678313863104	9.2590360341152e-58
VDAC2	ENHA_ZBTB18	True	False	False	1.1666666666666667	1.0012820512820513	3	-0.434969739122538	0.0422253253147413	False											6.51961183093868	4.1656969810961904e-47
VDAC2	ENHA_ZNF460	True	False	False	1.1666666666666667	1.085897435897436	9	1.21538597859962	5.59628789323162e-05	False											13.6097762436731	1.30481781058778e-53
VDAC2	ENHA_CEBPA	True	False	False	1.1666666666666667	-0.944871794871795	28	1.40831619900991	1.6381761926368402e-19	False											8.263172068475225	6.30382854863045e-58
VDAC2	ENHA_NFYC	True	False	False	1.1333333333333335	0.05641025641025643	5	-0.217629731396474	0.0920251590777719	False											6.95963206424388	4.39373831428856e-42
VDAC2	ENHA_STAT1	True	False	False	1.1666666666666667	0.6628205128205129	50	-4.62037343801228	3.18474888731901e-209	False											9.549775722954635	1.8906705625231777e-52
VDAC2	ENHA_NR2F1	True	False	False	1.1333333333333335	0.09871794871794881	8	2.15204275920652	0.261152651338228	False											22.0300656358455	7.201319396608442e-53
VDAC2	ENHA_ESR2	True	False	False	1.1	-0.7615384615384616	12	3.10191642117498	0.0302281855584287	False											4.64462687656206	1.2857909687224452e-25
VDAC2	ENHA_MZF1	True	False	False	1.1	-0.04230769230769216	10	2.70523955303638	7.14341823529132e-60	False											6.60347647820891	4.29415583296459e-47
VDAC2	ENHA_RREB1	True	False	False	1.1666666666666667	0.4089743589743591	12	-0.0735253190793003	0.467070376592638	False											40.868038215876	2.6921817451897056e-55
VDAC2	ENHA_KLF4	True	False	False	1.1333333333333335	-0.3243589743589743	39	-4.0236383329462	1.2985292682091302e-211	False											25.9365255876217	1.4773155389816501e-52
VDAC2	ENHA_TP53	True	False	False	1.1333333333333335	0.9025641025641029	392	0.19430270080352	0.0080827699159202	False											7.396208039732505	1.0826279634176241e-52
VDAC2	ENHA_TFAP2C	True	False	False	1.1	0.8038461538461541	13	-0.853382865494771	5.1225313213023e-10	False											10.6209025523755	2.5701375143443797e-55
VDAC2	ENHA_TFDP1	True	False	False	1.1666666666666667	0.8320512820512822	15	-1.49951127569777	7.75563052587775e-94	False											5.49162028314388	1.2874581818773799e-28
VDAC2	ENHA_THAP1	True	False	False	1.1333333333333335	0.8602564102564105	22	-0.731260560585431	0.000533619784927	False											7.67146410467738	3.72330507827625e-54
VDAC2	ENHA_IRF7	True	False	False	1.1	-0.4653846153846154	8	-3.83408099935248	6.50427053228451e-298	False											6.00008810544341	1.772420325226855e-43
VDAC2	ENHA_NFATC3	True	False	False	1.1333333333333335	-0.028205128205128105	1	0.548181206572617	2.53394364796607e-07	False											7.69589449109872	1.20441877798772e-55
VDAC2	ENHA_HES1	True	False	False	1.1	-0.5923076923076923	2	-3.39534238338495	1.54205368948807e-57	False											5.259350427134905	0.00206088077085825
VDAC2	ENHA_RFX1	True	False	False	1.1666666666666667	0.3666666666666667	16	0.448877259836791	0.015588998058263	False											7.86917978921469	8.622299665159461e-56
VDAC2	ENHA_NFATC4	True	False	False	1.1666666666666667	-0.014102564102564052	7	-0.710503498140033	0.0854050478704199	False											7.21137471977675	1.6849246795143e-52
VDAC2	ENHA_MAZ	True	False	False	1.1666666666666667	-0.18333333333333335	16	1.17636897308062	2.95636464524114e-88	False											9.86643030376595	3.04265512380837e-59
VDAC2	ENHA_SREBF1	True	False	False	1.1	0.6346153846153848	30	2.33049101833238	6.57549062582311e-219	False											6.22551767940185	1.06338328190955e-43
VDAC2	ENHA_TEAD1	True	False	False	1.1	0.7615384615384617	7	-3.09819901379961	1.5394834772998e-296	False											11.9453608663154	1.40562879006673e-71
VDAC2	ENHA_SOX13	True	False	False	1.1	0.5076923076923079	1	-0.553019887296331	0.0002820815064001	False											4.78707674427538	1.84053273934867e-26
VDAC2	ENHA_IRF1	True	False	False	1.1333333333333335	-0.4935897435897436	126	-4.0231535461388	8.02847625817727e-85	False											10.2737297765676	5.91535827041039e-33
VDAC2	ENHA_ETV5	True	False	False	1.1333333333333335	-0.7474358974358974	1	-6.35389406734804	2.00081324401449e-38	False											6.81740266100471	1.85493493824694e-48
VDAC2	ENHA_KLF2	True	False	False	1.1666666666666667	-0.35256410256410253	18	2.91214006178269	1.1394009815664e-06	False											19.476853193113	1.92587002565418e-56
VDAC2	ENHA_ATF3	True	False	False	1.1	-1.0576923076923077	51	-0.363412288333933	0.0004899812137875	False											6.72298391817372	2.07141816192957e-43
VDAC2	ENHA_EGR1	True	False	False	1.1333333333333335	-0.8320512820512821	42	-3.04567725393117	0.0	False											12.541787424315551	3.95636902325292e-59
VDAC2	ENHA_THRB	True	False	False	1.1	0.8884615384615386	11	1.21953043880219	8.56338194398239e-20	False											7.6051884973582	4.11773809564007e-55
VDAC2	ENHA_FOSL2	True	False	False	1.1	-0.7192307692307693	4	-3.0226820248758	1.8258994682084e-290	False											6.2706416114950745	2.219186680995377e-39
VDAC2	ENHA_ZNF740	True	False	False	1.1	1.1	3	0.193961958381287	0.0628387066614002	False											17.7531575312765	1.09409240080797e-63
