promoter	protein	is_enhancer	is_promoter	is_intermediate	X-graph-coord	Y-graph-coord	degree	expression_log2FoldChange	expression_padj	SNP-binding	Betweenness_global	Degree_global	Betweenness_in_cluster	Betweenness_out_cluster	Betweenness_enrichment	Degree_in_cluster	Degree_out_cluster	Degree_enrichment	Betweenness_enrichment_pval	Degree_enrichment_pval	fisher_test_OR	fisher_test_pval
CEP57L1	ENHA_ZBTB18	True	False	False	1.1333333333333335	0.9589743589743591	2	-0.434969739122538	0.0422253253147413	False											3.426579110361655	1.1321453725772813e-41
CEP57L1	ENHA_ZNF460	True	False	False	1.1666666666666667	1.071794871794872	2	1.21538597859962	5.59628789323162e-05	False											7.14831180298735	5.06127977887665e-91
CEP57L1	ENHA_STAT1	True	False	False	1.1333333333333335	0.6205128205128208	37	-4.62037343801228	3.18474888731901e-209	False											4.49153460204448	2.77739431575882e-59
CEP57L1	ENHA_NR2F1	True	False	False	1.1	0.0	2	2.15204275920652	0.261152651338228	False											6.725187783807034	1.90565982678889e-66
CEP57L1	ENHA_ESR2	True	False	False	1.1333333333333335	-0.9025641025641027	8	3.10191642117498	0.0302281855584287	False											2.6775395884009052	2.612723392781493e-25
CEP57L1	ENHA_MZF1	True	False	False	1.1666666666666667	-0.1974358974358974	4	2.70523955303638	7.14341823529132e-60	False											3.207944365500155	1.4251265117978376e-33
CEP57L1	ENHA_TFAP2C	True	False	False	1.1333333333333335	0.7897435897435898	7	-0.853382865494771	5.1225313213023e-10	False											4.56629334968828	2.99207810558679e-66
CEP57L1	ENHA_IRF7	True	False	False	1.1	-0.5923076923076923	5	-3.83408099935248	6.50427053228451e-298	False											2.16835252573708	4.88748339062447e-18
CEP57L1	ENHA_RFX1	True	False	False	1.1	0.3384615384615386	3	0.448877259836791	0.015588998058263	False											2.24400244874632	9.15465304726983e-18
CEP57L1	ENHA_IRF1	True	False	False	1.1333333333333335	-0.6487179487179487	32	-4.0231535461388	8.02847625817727e-85	False											7.60178369675361	2.4055153641278397e-56
CEP57L1	ENHA_NR4A1	True	False	False	1.1666666666666667	0.05641025641025643	20	-0.313752055108596	0.111151395127448	False											3.025197804581	1.1322039721111716e-35
CEP57L1	ENHA_EGR1	True	False	False	1.1666666666666667	-0.958974358974359	23	-3.04567725393117	0.0	False											5.02399389272095	2.83301472585766e-60
CEP57L1	ENHA_IRF3	True	False	False	1.1666666666666667	-0.6205128205128205	22	-0.741767567552619	5.2616063874333e-12	False											2.50849065910328	3.1539343076598e-26
CEP57L1	ENHA_ZNF740	True	False	False	1.1	1.1	1	0.193961958381287	0.0628387066614002	False											5.01821079430301	7.19708234584353e-71
CEP57L1	ENHA_FOXO3	True	False	False	1.1	-0.7615384615384616	14	1.24156433831413	4.17412683231984e-59	False											2.28147660931303	1.0362426689288894e-18
CEP57L1	ENHA_NFKB1	True	False	False	1.1666666666666667	-0.11282051282051275	22	-1.14746090520674	3.71257051919243e-33	False											7.153749712554415	2.1456584213819252e-77
CEP57L1	ENHA_KLF5	True	False	False	1.1	-0.5076923076923077	20	-5.67652439532414	1.21080876011697e-253	False											7.89089130849937	1.0146803081274338e-82
CEP57L1	ENHA_NR1D2	True	False	False	1.1333333333333335	-0.05641025641025643	1	0.169407516340098	0.0882087056795906	False											2.50027887650926	9.76196179374988e-24
CEP57L1	ENHA_LEF1	True	False	False	1.1666666666666667	-0.45128205128205123	4	1.16070839588944	0.107054036289159	False											2.120436890536395	1.884549896563211e-15
CEP57L1	ENHA_RBPJ	True	False	False	1.1	0.25384615384615383	13	0.115047690168036	0.250723186308428	False											3.30930162545213	1.2226933505749099e-42
CEP57L1	ENHA_FOXP1	True	False	False	1.1333333333333335	-0.7333333333333334	6	1.23058638748909	9.34625524205785e-17	False											5.12999262872407	6.56607688573858e-58
CEP57L1	ENHA_REST	True	False	False	1.1666666666666667	0.31025641025641026	7	-0.26340778686432	0.01034300165799	False											5.51921580253621	5.53441940052428e-71
CEP57L1	ENHA_ATF2	True	False	False	1.1	-1.1	27	-1.17700877218428	6.62215113985468e-25	False											3.0370613952295	1.13190828206688e-34
CEP57L1	ENHA_RUNX2	True	False	False	1.1	0.42307692307692313	10	-0.861166876706292	0.0007117547549995	False											3.49533739927322	9.081521263165043e-48
CEP57L1	ENHA_TWIST1	True	False	False	1.1	0.8461538461538463	6	0.152160574972577	0.616322400300272	False											2.54119579091976	1.053346292840774e-25
CEP57L1	ENHA_TFAP2A	True	False	False	1.1	0.7615384615384617	26	-3.2635472309405	5.28479283829799e-135	False											6.44521308030251	1.29064793220683e-67
CEP57L1	ENHA_REL	True	False	False	1.1333333333333335	0.28205128205128216	15	-2.46080604113086	7.93735410976565e-55	False											2.93074445591471	5.14646749574001e-24
CEP57L1	ENHA_YY1	True	False	False	1.1	0.930769230769231	43	-0.538679781895407	1.62040735838636e-12	False											3.06970262918825	2.84096698714129e-39
CEP57L1	ENHA_MAF	True	False	False	1.1	-0.42307692307692313	4	4.90755187657154	5.48369160876712e-20	False											2.824660173348135	6.836646570827929e-30
CEP57L1	ENHA_PRDM1	True	False	False	1.1	0.1692307692307693	9	-6.53099636690485	2.85150155789745e-13	False											4.39248638270539	5.29412777308944e-59
CEP57L1	ENHA_POU5F1	True	False	False	1.1333333333333335	0.11282051282051286	1	-1.16058416310431	0.195070515239064	False											2.09252063093818	7.96995023870745e-15
CEP57L1	ENHA_ZNF148	True	False	False	1.1333333333333335	1.0435897435897439	11	-0.834924716402328	2.2398601186884702e-14	False											5.86695425050856	3.43294987590111e-78
