edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
DPF2;ENHA_HMBOX1	6.50943230294085	4.526916051719041e-19	False	(array([ 0.90748262, -0.35223538]), (1.1333333333333335, -0.5609271523178808))	False
DYNLL2;ENHA_HMBOX1	6.48743977059164	9.91509216408534e-25	False	(array([0.94479734, 0.2515927 ]), (1.1333333333333335, -0.5609271523178808))	False
ENHA_HMBOX1;ZBTB24	7.44155774654107	5.89733499985392e-33	False	((1.1333333333333335, -0.5609271523178808), array([-0.86596364,  0.58190441]))	False
ENHA_YY1;TFCP2	3.31871849872969	3.90545585145102e-06	False	((1.1, 0.9543046357615896), array([-0.63577247, -0.76497543]))	False
ENHA_JDP2;HDAC6	4.28896268392397	2.41057245594105e-09	False	((1.1, -0.4443708609271524), array([-0.8493681 ,  0.52311814]))	False
ENHA_RELB;HDAC6	4.32289887498831	1.18852903985081e-08	False	((1.1, 0.3860927152317881), array([-0.8493681 ,  0.52311814]))	False
ENHA_NR3C1;HDAC6	4.90017352208741	9.70108443023843e-13	False	((1.1333333333333335, 0.18211920529801318), array([-0.8493681 ,  0.52311814]))	False
ENHA_ZNF24;LRIF1	3.04094509668952	6.96052405155695e-07	False	((1.1333333333333335, 1.056291390728477), array([-0.93980062, -0.36636528]))	False
ENHA_NR3C1;NRIP1	3.57627206262588	8.463055777193991e-10	False	((1.1333333333333335, 0.18211920529801318), array([0.9546808 , 0.05916696]))	False
CGGBP1;ENHA_RBPJ	3.80296992674754	1.43309104644718e-06	False	(array([0.17556679, 0.93263328]), (1.1333333333333335, 0.356953642384106))	False
ENHA_TFAP4;FOXA1	3.27752128103069	1.26848859403938e-11	False	((1.1, 0.8231788079470199), array([0.17744292, 0.97571599]))	False
ENHA_PBX1;FOXA1	3.04644098129522	9.71177555450801e-07	False	((1.1666666666666667, 0.24039735099337745), array([0.17744292, 0.97571599]))	False
ENHA_PBX1;MEIS1	4.38138113036604	8.91104917754773e-12	False	((1.1666666666666667, 0.24039735099337745), array([ 0.7039786 , -0.66756135]))	False
ENHA_RBPJ;OGT	5.29206305023128	2.16646646245291e-34	False	((1.1333333333333335, 0.356953642384106), array([ 0.87657809, -0.35419607]))	False
ENHA_RBPJ;KDM2A	3.39204007193574	9.06822328665111e-10	False	((1.1333333333333335, 0.356953642384106), array([0.7877419, 0.5845499]))	False
ENHA_SREBF1;MED6	12.5840321903278	1.77166428422255e-76	False	((1.1333333333333335, 0.619205298013245), array([-0.79500937, -0.64738166]))	False
ENHA_EGR1;MED6	5.09228882107848	1.2654565478252e-30	False	((1.1666666666666667, -0.852317880794702), array([-0.79500937, -0.64738166]))	False
ENHA_HSF1;KPNA3	5.55764670737022	7.8466109665711e-35	False	((1.1666666666666667, -0.5026490066225167), array([ 0.07594726, -0.9956767 ]))	False
EGFR;ENHA_FOS	3.76690378873191	5.81929958474929e-11	False	(array([-0.69807965,  0.77238142]), (1.1666666666666667, -0.7649006622516556))	False
EGFR;ENHA_NR3C1	2.98628949435374	6.701655392779651e-09	False	(array([-0.69807965,  0.77238142]), (1.1333333333333335, 0.18211920529801318))	False
ENHA_RBPJ;MBD1	3.11247536215619	1.97320137962328e-09	False	((1.1333333333333335, 0.356953642384106), array([ 0.13599718, -0.92730671]))	False
ENHA_ZBTB7C;SREBF1	6.31252887983395	7.83061018748751e-43	False	((1.1, 0.9980132450331127), array([-0.92866963,  0.11706541]))	False
ENHA_SP1;SREBF1	4.13948591987776	1.58442908535877e-27	False	((1.1666666666666667, 0.5463576158940397), array([-0.92866963,  0.11706541]))	False
ENHA_LEF1;TLE1	5.79743594380712	8.58780792420307e-37	False	((1.1333333333333335, -0.2549668874172186), array([-0.87655646, -0.22900842]))	False
ENHA_ATF2;TLE1	8.04882609163169	1.25566812585509e-52	False	((1.1333333333333335, -1.0854304635761591), array([-0.87655646, -0.22900842]))	False
ENHA_HES1;TLE1	6.82924585557993	7.258575845883699e-35	False	((1.1666666666666667, -0.6337748344370862), array([-0.87655646, -0.22900842]))	False
ENHA_TCF4;TLE1	4.94540922101347	1.39866082502355e-35	False	((1.1, 0.7357615894039735), array([-0.87655646, -0.22900842]))	False
CDC5L;ENHA_THAP1	4.7074381018786	7.05791779342471e-18	False	(array([-0.97539908, -0.00153063]), (1.1666666666666667, 0.852317880794702))	False
CDC5L;ENHA_ZBTB7C	4.56828647355653	1.0134389362407e-11	False	(array([-0.97539908, -0.00153063]), (1.1, 0.9980132450331127))	False
CCND3;ENHA_VDR	2.99175887555973	1.30388603020667e-08	False	(array([-0.32162493,  0.95241159]), (1.1333333333333335, 0.9251655629139073))	False
ENHA_TCF4;PSEN1	3.20937387153957	3.7188914811996094e-18	False	((1.1, 0.7357615894039735), array([0.14453299, 0.90479141]))	False
ENHA_TCF3;MAPKAPK2	3.43265092168587	1.5049118560636e-17	False	((1.1666666666666667, 0.7211920529801326), array([-0.94103372, -0.28531051]))	False
ENHA_HSF1;MAPKAPK2	5.32845883745073	1.45625688823719e-32	False	((1.1666666666666667, -0.5026490066225167), array([-0.94103372, -0.28531051]))	False
ENHA_JUN;RBM39	5.03973805791824	7.71454681408417e-16	False	((1.1333333333333335, -0.4298013245033113), array([ 0.25639352, -0.90540946]))	False
ENHA_MLX;RBM39	6.09892294362207	6.34373137521566e-10	False	((1.1333333333333335, -0.08013245033112582), array([ 0.25639352, -0.90540946]))	False
ENHA_THAP1;RBM39	4.19908677065288	1.31646530234554e-10	False	((1.1666666666666667, 0.852317880794702), array([ 0.25639352, -0.90540946]))	False
ENHA_THAP1;POLR2L	7.94979709168517	4.8796958125575895e-55	False	((1.1666666666666667, 0.852317880794702), array([-0.60141164,  0.74912101]))	False
ENHA_THAP1;MORF4L1	5.48662670473765	3.47331781525539e-10	False	((1.1666666666666667, 0.852317880794702), array([-0.89521277,  0.29756463]))	False
ENHA_HMBOX1;MORF4L1	4.84363427797966	6.73526149645306e-07	False	((1.1333333333333335, -0.5609271523178808), array([-0.89521277,  0.29756463]))	False
ENHA_TCF3;NEDD9	4.19759608507173	5.68123992892429e-16	False	((1.1666666666666667, 0.7211920529801326), array([0.08041993, 0.97159284]))	False
ENHA_TCF4;POLR1A	4.00873232442162	5.675961694905609e-13	False	((1.1, 0.7357615894039735), array([-0.3987456 , -0.91497523]))	False
ENHA_TCF4;ZNF688	3.71499844853641	1.00631533271812e-12	False	((1.1, 0.7357615894039735), array([0.58247244, 0.75491953]))	False
ENHA_HMBOX1;ZNF688	6.97324564308468	2.02130644481302e-17	False	((1.1333333333333335, -0.5609271523178808), array([0.58247244, 0.75491953]))	False
ENHA_TCF4;HAT1	4.00873232442162	5.675961694905609e-13	False	((1.1, 0.7357615894039735), array([0.67364693, 0.78035581]))	False
ENHA_TCF4;MAGOHB	4.00873232442162	5.675961694905609e-13	False	((1.1, 0.7357615894039735), array([-0.9323433 , -0.40170011]))	False
