edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
ENHA_STAT3;NR4A1	3.55105561363762	2.30150374386483e-06	False	((1.1333333333333335, 0.614110429447853), array([0.29401934, 0.96770787]))	False
ENHA_TP53;PTK2	3.33068708777048	6.63313679359371e-07	False	((1.1, 0.8030674846625769), array([0.90561086, 0.41285044]))	False
ENHA_STAT3;PTK2	3.83166053516712	1.61526117220351e-07	False	((1.1333333333333335, 0.614110429447853), array([0.90561086, 0.41285044]))	False
APEX1;ENHA_TP53	3.33068708777048	6.63313679359371e-07	False	(array([-0.85257244,  0.50994056]), (1.1, 0.8030674846625769))	False
APEX1;ENHA_STAT3	3.83166053516712	1.61526117220351e-07	False	(array([-0.85257244,  0.50994056]), (1.1333333333333335, 0.614110429447853))	False
ENHA_TP53;MTOR	3.33068708777048	6.63313679359371e-07	False	((1.1, 0.8030674846625769), array([0.48176327, 0.87579304]))	False
ENHA_STAT3;MTOR	3.83166053516712	1.61526117220351e-07	False	((1.1333333333333335, 0.614110429447853), array([0.48176327, 0.87579304]))	False
ENHA_TP53;GNL3	3.33068708777048	6.63313679359371e-07	False	((1.1, 0.8030674846625769), array([ 0.38915423, -0.89055526]))	False
ENHA_STAT3;GNL3	3.83166053516712	1.61526117220351e-07	False	((1.1333333333333335, 0.614110429447853), array([ 0.38915423, -0.89055526]))	False
ENHA_TP53;SETD7	3.33068708777048	6.63313679359371e-07	False	((1.1, 0.8030674846625769), array([-0.70783097, -0.7695294 ]))	False
ENHA_STAT3;SETD7	3.83166053516712	1.61526117220351e-07	False	((1.1333333333333335, 0.614110429447853), array([-0.70783097, -0.7695294 ]))	False
ENHA_POU5F1;WDR5	7.47336917952717	7.33731457513611e-54	False	((1.1, 0.19570552147239262), array([0.95086807, 0.03600681]))	False
ENHA_MAX;WDR5	2.9194663509011	2.44767852809436e-07	False	((1.1666666666666667, -0.22269938650306742), array([0.95086807, 0.03600681]))	False
ENHA_TP53;WDR5	12.0779577974308	4.67777511675165e-74	False	((1.1, 0.8030674846625769), array([0.95086807, 0.03600681]))	False
ENHA_TP53;TAF1	4.51429505109289	2.10828433658166e-17	False	((1.1, 0.8030674846625769), array([-0.86809689, -0.4262296 ]))	False
ENHA_TP53;FOXK1	3.59664634928456	4.28688267812918e-12	False	((1.1, 0.8030674846625769), array([0.17792653, 0.97707933]))	False
ENHA_TP53;PSMD11	4.67637172159854	1.24504929915592e-21	False	((1.1, 0.8030674846625769), array([ 0.1438819 , -0.97836488]))	False
ENHA_NFKB2;PSMD11	3.71365588260781	3.74450604200117e-12	False	((1.1333333333333335, 0.006748466257668673), array([ 0.1438819 , -0.97836488]))	False
ENHA_TP53;NFKBIA	6.37243846739284	2.1530129380552102e-44	False	((1.1, 0.8030674846625769), array([ 0.75712067, -0.6007148 ]))	True
ENHA_NFKB2;NFKBIA	4.29422822051753	3.2982349774432497e-13	False	((1.1333333333333335, 0.006748466257668673), array([ 0.75712067, -0.6007148 ]))	True
ENHA_NFKB1;NFKBIA	4.49348748678092	1.3867489614593798e-22	False	((1.1, -0.006748466257668673), array([ 0.75712067, -0.6007148 ]))	True
ENHA_TP53;TSC22D3	6.59934379897537	3.32921322127705e-45	False	((1.1, 0.8030674846625769), array([ 0.88127643, -0.33945185]))	False
ENHA_NFKB2;TSC22D3	4.29422822051753	3.2982349774432497e-13	False	((1.1333333333333335, 0.006748466257668673), array([ 0.88127643, -0.33945185]))	False
ENHA_NFKB1;TSC22D3	4.49348748678092	1.3867489614593798e-22	False	((1.1, -0.006748466257668673), array([ 0.88127643, -0.33945185]))	False
ENHA_TP53;RPS7	13.3121602982461	6.30976243904918e-84	False	((1.1, 0.8030674846625769), array([0.82624668, 0.53376359]))	False
ENHA_TP53;MAD2L1BP	13.3121602982461	6.30976243904918e-84	False	((1.1, 0.8030674846625769), array([ 0.12051761, -0.94309878]))	False
ENHA_TP53;PSME3	15.6729857945079	5.37268422051641e-91	False	((1.1, 0.8030674846625769), array([-0.81186485, -0.60688037]))	False
ENHA_KLF2;PSME3	6.95378033592279	9.075549974191701e-39	False	((1.1666666666666667, -0.3441717791411043), array([-0.81186485, -0.60688037]))	False
ENHA_TP53;SET	27.6084293403646	5.33718098431147e-106	False	((1.1, 0.8030674846625769), array([-0.80918235,  0.4807173 ]))	False
