edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
CDK6;ENHA_FOXO3	6.94283477947267	3.34084022814637e-50	False	(array([0.89681244, 0.51282406]), (1.1333333333333335, -0.6246231155778895))	False
CDK6;ENHA_MEF2D	8.82870408462853	5.79771803012507e-50	False	(array([0.89681244, 0.51282406]), (1.1666666666666667, -0.11608040201005032))	False
CDK6;ENHA_HSF1	8.61319363869147	2.91908591909552e-60	False	(array([0.89681244, 0.51282406]), (1.1333333333333335, -0.4256281407035176))	False
CDK6;ENHA_KLF10	12.388903907494	1.37726652599392e-71	False	(array([0.89681244, 0.51282406]), (1.1, -0.3040201005025126))	False
CDK6;ENHA_TFDP1	5.75113455389257	2.40690984732902e-34	False	(array([0.89681244, 0.51282406]), (1.1333333333333335, 0.8346733668341708))	False
CDK6;ENHA_NFATC3	7.69589449109872	1.20441877798772e-55	False	(array([0.89681244, 0.51282406]), (1.1333333333333335, 0.005527638190954809))	False
CDK6;ENHA_MZF1	9.47735539565605	4.98773636887596e-66	False	(array([0.89681244, 0.51282406]), (1.1, -0.005527638190954809))	False
CDK6;ENHA_AR	10.4116707024438	7.85513003027201e-71	False	(array([0.89681244, 0.51282406]), (1.1, -1.1))	False
CDK6;PROM_TFDP1	2.22704009304954	2.7500941933139603e-10	False	(array([0.89681244, 0.51282406]), (-1.1666666666666667, 0.7764705882352942))	False
ENHA_RXRB;SIAH1	7.64513451827844	7.51455525283419e-54	False	((1.1, 0.4919597989949749), array([-0.72565687, -0.72168952]))	False
ENHA_ZNF148;SIAH1	14.7682857051295	4.4814272688362797e-69	False	((1.1, 1.055778894472362), array([-0.72565687, -0.72168952]))	False
ENHA_BCL6;SIAH1	9.85650437067589	5.732649805809371e-63	False	((1.1333333333333335, -1.0226130653266332), array([-0.72565687, -0.72168952]))	False
ENHA_KLF10;SIAH1	16.4891343406327	5.16673924160824e-79	False	((1.1, -0.3040201005025126), array([-0.72565687, -0.72168952]))	False
ENHA_STAT3;SIAH1	15.5657423128346	5.46223985933399e-86	False	((1.1, 0.6909547738693467), array([-0.72565687, -0.72168952]))	False
PROM_ZNF148;SIAH1	39.5525258678638	1.62229514851931e-61	False	((-1.1666666666666667, 0.9705882352941178), array([-0.72565687, -0.72168952]))	False
