promoter	protein	is_enhancer	is_promoter	is_intermediate	X-graph-coord	Y-graph-coord	degree	expression_log2FoldChange	expression_padj	SNP-binding	Betweenness_global	Degree_global	Betweenness_in_cluster	Betweenness_out_cluster	Betweenness_enrichment	Degree_in_cluster	Degree_out_cluster	Degree_enrichment	Betweenness_enrichment_pval	Degree_enrichment_pval	fisher_test_OR	fisher_test_pval
ERBIN	ENHA_SNAI2	True	False	False	1.1666666666666667	0.4190476190476189	1	-7.39045172449115	2.3935402877077702e-54	False											0.573020494009773	1.4330236201478e-07
ERBIN	ENHA_PBX2	True	False	False	1.1333333333333335	0.20952380952380945	1	0.0108784421307743	0.927722010391981	False											0.411233921729787	9.82268307320817e-12
ERBIN	ENHA_ZBTB18	True	False	False	1.1	0.9428571428571426	1	-0.434969739122538	0.0422253253147413	False											0.279744433825317	1.79803035303849e-20
ERBIN	ENHA_KLF11	True	False	False	1.1	-0.3142857142857144	2	-0.441334750720284	0.0038049154602967	False											1.0605309341152316	0.04004033737850195
ERBIN	ENHA_BACH1	True	False	False	1.1	-1.1	2	-1.45059197892293	2.8452302312222497e-33	False											0.349368790970762	4.847164629728484e-11
ERBIN	ENHA_CEBPA	True	False	False	1.1666666666666667	-0.9952380952380954	11	1.40831619900991	1.6381761926368402e-19	False											0.25657225072066	1.54645957839184e-17
ERBIN	ENHA_E2F1	True	False	False	1.1	-0.942857142857143	17	-1.58598313818408	1.07173313586322e-50	False											0.295086737307453	2.50176740959279e-13
ERBIN	ENHA_ZNF24	True	False	False	1.1666666666666667	1.0476190476190474	3	0.796823491162963	3.1275123863905497e-26	False											0.332040902255099	7.4221996241978e-15
ERBIN	ENHA_JDP2	True	False	False	1.1666666666666667	-0.5238095238095238	2	-0.440866533589643	0.0002382631203851	False											0.2937344627586175	3.3490130886702824e-14
ERBIN	ENHA_KLF4	True	False	False	1.1666666666666667	-0.20952380952380956	10	-4.0236383329462	1.2985292682091302e-211	False											0.9920815366857101	0.281210354241108
ERBIN	ENHA_TP53	True	False	False	1.1333333333333335	0.838095238095238	57	0.19430270080352	0.0080827699159202	False											0.187278220963788	1.0939722123410901e-25
ERBIN	ENHA_BACH2	True	False	False	1.1333333333333335	-1.0476190476190477	1	-5.20526058244285	1.2125975345359101e-14	False											0.290576127469246	1.43591832423474e-13
ERBIN	ENHA_TP73	True	False	False	1.1666666666666667	0.8904761904761904	14	0.984521247569377	0.0018736401375279	False											0.3617764939624135	1.7996349893703799e-10
ERBIN	ENHA_TFDP1	True	False	False	1.1	0.7857142857142856	5	-1.49951127569777	7.75563052587775e-94	False											0.342806692352274	1.4031904731997e-08
ERBIN	ENHA_SP3	True	False	False	1.1666666666666667	0.5761904761904761	2	-0.775224946273101	3.1953368976117602e-21	False											1.163349126723561	0.0328681714363993
ERBIN	ENHA_RUNX2	True	False	False	1.1333333333333335	0.3666666666666667	10	-0.861166876706292	0.0007117547549995	False											0.386544978960791	2.5714884499745815e-15
ERBIN	ENHA_KLF9	True	False	False	1.1666666666666667	-0.05238095238095242	1	0.780085327606089	4.63130065865619e-16	False											1.13701430560578	0.241954099253998
ERBIN	ENHA_SP4	True	False	False	1.1	0.6285714285714286	3	-0.817158610473196	7.14173690207365e-06	False											0.869129917837914	0.226845322846534
ERBIN	ENHA_GABPA	True	False	False	1.1666666666666667	-0.680952380952381	5	1.45005565467442	2.0852722753028797e-36	False											0.3894903901495	3.6608141595413504e-15
ERBIN	ENHA_E2F6	True	False	False	1.1666666666666667	-0.8380952380952382	4	-0.254228650675088	0.250420646955463	False											0.44256788170059547	3.975960265248319e-10
ERBIN	ENHA_TEAD1	True	False	False	1.1333333333333335	0.680952380952381	3	-3.09819901379961	1.5394834772998e-296	False											0.405942130258639	2.5893483067032397e-12
ERBIN	ENHA_TFAP4	True	False	False	1.1666666666666667	0.7333333333333334	3	1.12904754124613	1.8391562200158797e-11	False											0.299657446243968	3.24267761002061e-10
ERBIN	ENHA_GATA6	True	False	False	1.1	-0.6285714285714287	1	-1.40403062398768	1.91110113852165e-08	False											0.200669500528269	1.80519586048992e-18
ERBIN	ENHA_KLF10	True	False	False	1.1666666666666667	-0.3666666666666667	3	-1.93024821190597	1.00083757814832e-81	False											1.03488217813762	0.782476957980729
ERBIN	ENHA_NFE2L1	True	False	False	1.1	0.15714285714285703	3	-0.255367602767525	4.44953892701778e-06	False											0.26025022601499	3.33018927680627e-16
ERBIN	ENHA_SP1	True	False	False	1.1	0.4714285714285713	37	-0.733707104214519	4.5131323926585794e-18	False											1.692251155426	1.63720014288321e-05
ERBIN	ENHA_JUND	True	False	False	1.1333333333333335	-0.4190476190476191	9	1.49686913023121	2.5156694931318598e-49	False											0.243723447246372	1.32250977267871e-21
ERBIN	ENHA_PKNOX1	True	False	False	1.1666666666666667	0.26190476190476186	1	-0.101546903531367	0.592982576263575	False											0.394466278983628	1.20670819537924e-05
ERBIN	ENHA_KLF2	True	False	False	1.1333333333333335	-0.261904761904762	6	2.91214006178269	1.1394009815664e-06	False											0.965448683616679	0.015514953625203349
ERBIN	ENHA_FOSL2	True	False	False	1.1333333333333335	-0.7333333333333334	3	-3.0226820248758	1.8258994682084e-290	False											0.284959250752744	4.2345084052855406e-15
ERBIN	ENHA_MAF	True	False	False	1.1	0.0	1	4.90755187657154	5.48369160876712e-20	False											0.365775740976804	9.00771284408384e-13
ERBIN	ENHA_FOS	True	False	False	1.1	-0.7857142857142858	25	0.498702747190724	0.0001190838470953	False											0.240029876360713	2.3283288500359e-17
ERBIN	ENHA_ZNF740	True	False	False	1.1	1.1	1	0.193961958381287	0.0628387066614002	False											0.880830654825826	0.247013758176461
ERBIN	ENHA_SP2	True	False	False	1.1333333333333335	0.5238095238095237	3	-0.0147266859935625	0.930346069146716	False											1.10112222246055	0.408935327236657
ERBIN	ENHA_NFATC2	True	False	False	1.1666666666666667	0.10476190476190461	5	-2.18442130434378	1.46114168314636e-05	False											0.168493865814743	5.32011532270733e-06
