protein	is_enhancer	is_promoter	is_intermediate	X-graph-coord	Y-graph-coord	degree	expression_log2FoldChange	expression_padj	SNP-binding	Betweenness_global	Degree_global	Betweenness_in_cluster	Betweenness_out_cluster	Betweenness_enrichment	Degree_in_cluster	Degree_out_cluster	Degree_enrichment	Betweenness_enrichment_pval	Degree_enrichment_pval	fisher_test_OR	fisher_test_pval
ENHA_TEAD3	True	False	False	1.1	0.7117647058823531	2	-1.73704433724737	3.162597211463e-40	False											6.15222330062097	7.23649632459915e-26
ENHA_NR2F2	True	False	False	1.1333333333333335	0.07908496732026138	2	1.53748819540803	3.79515510981433e-47	False											5.98390416465697	2.5951081958219552e-23
ENHA_EHF	True	False	False	1.1666666666666667	-0.8986928104575165	2	1.88526498951326	2.4863645701402698e-185	False											20.4507137139845	2.2716837595183845e-60
ENHA_HINFP	True	False	False	1.1666666666666667	-0.596732026143791	2	-0.181229002166889	0.339807468547872	False											5.671791677055575	6.85370055214057e-14
ENHA_ZBTB26	True	False	False	1.1	0.9274509803921571	3	-0.0532896782270238	0.821792475560156	False											5.62866448329204	9.53637943809964e-31
ENHA_STAT3	True	False	False	1.1666666666666667	0.6111111111111112	35	-0.13163942522722	0.0914843663541713	False											7.48617618390881	5.4207955630872797e-48
ENHA_MAZ	True	False	False	1.1	-0.23725490196078436	5	1.17636897308062	2.95636464524114e-88	False											9.86643030376595	3.04265512380837e-59
ENHA_RFX3	True	False	False	1.1	0.32352941176470584	2	1.29518564494931	2.61532881750928e-09	False											8.373494489113579	6.51642209205301e-59
ENHA_TEAD1	True	False	False	1.1333333333333335	0.6830065359477124	5	-3.09819901379961	1.5394834772998e-296	False											11.2823691202116	1.3742493909517899e-70
ENHA_KLF4	True	False	False	1.1333333333333335	-0.3522875816993465	10	-4.0236383329462	1.2985292682091302e-211	False											33.2571128961372	7.455391418937302e-53
ENHA_TBX3	True	False	False	1.1	0.6254901960784314	1	4.85416731525128	0.0	False											5.72797153072639	3.72949797582905e-41
ENHA_NFIC	True	False	False	1.1	-0.06470588235294117	2	1.96587754562413	4.1547395769726297e-128	False											4.978639875473325	4.3814546367722797e-13
ENHA_CEBPB	True	False	False	1.1666666666666667	-1.0281045751633988	16	-1.24764079331658	9.42804687986243e-41	False											9.886068964214175	2.7530509327099684e-50
ENHA_FOXP1	True	False	False	1.1666666666666667	-0.6830065359477124	3	1.23058638748909	9.34625524205785e-17	False											20.1245487053702	3.22390024835718e-45
ENHA_ZNF143	True	False	False	1.1	1.0137254901960784	2	0.199771136687369	0.27348045140562	False											4.77120589680214	3.4044598094247504e-20
ENHA_EGR1	True	False	False	1.1333333333333335	-0.9130718954248367	16	-3.04567725393117	0.0	False											12.541787424315551	3.3732455665014902e-59
ENHA_ATF3	True	False	False	1.1333333333333335	-1.0856209150326799	17	-0.363412288333933	0.0004899812137875	False											6.72298391817372	2.07141816192957e-43
ENHA_PBX3	True	False	False	1.1333333333333335	0.16535947712418309	1	-1.98827226524267	1.05809867177738e-22	False											2.91540788702019	1.6362584269764701e-09
ENHA_MAF	True	False	False	1.1	-0.2803921568627451	2	4.90755187657154	5.48369160876712e-20	False											6.008039283250055	1.5706147327914468e-43
ENHA_PRDM1	True	False	False	1.1333333333333335	0.20849673202614372	5	-6.53099636690485	2.85150155789745e-13	False											6.96662811660465	2.4015098210486e-38
ENHA_KLF11	True	False	False	1.1666666666666667	-0.42418300653594776	6	-0.441334750720284	0.0038049154602967	False											8.315721172328924	3.2654114992263905e-52
ENHA_NFE2L1	True	False	False	1.1666666666666667	-0.12222222222222223	4	-0.255367602767525	4.44953892701778e-06	False											9.27342234196975	1.401145156725796e-62
ENHA_SIX1	True	False	False	1.1666666666666667	0.3954248366013071	1	-2.10531185326911	2.8941233227892204e-15	False											5.98139870703345	1.2042896719235399e-36
ENHA_JDP2	True	False	False	1.1333333333333335	-0.4816993464052288	3	-0.440866533589643	0.0002382631203851	False											6.30996401913038	5.89711934557757e-46
ENHA_KLF9	True	False	False	1.1333333333333335	-0.30915032679738563	1	0.780085327606089	4.63130065865619e-16	False											36.196301926546	4.97679309368354e-57
ENHA_MITF	True	False	False	1.1666666666666667	-0.16535947712418309	3	-0.96082560983642	0.000310367907514	False											4.8418995821672	3.36752048299643e-30
ENHA_SP4	True	False	False	1.1	0.5392156862745099	2	-0.817158610473196	7.14173690207365e-06	False											7.990598784518085	4.314895277944762e-50
ENHA_TCF7L2	True	False	False	1.1	0.6686274509803922	10	-1.66318182589027	1.90410966467924e-12	False											8.17097219341839	4.115939572104349e-57
ENHA_KLF15	True	False	False	1.1333333333333335	-0.39542483660130723	2	4.1833301961753	7.76478681528587e-34	False											5.08776641907958	5.887333417183223e-32
ENHA_MGA	True	False	False	1.1333333333333335	-0.1797385620915033	4	-0.885909347777291	1.2751518779619201e-15	False											5.53413197880928	1.1605374747041477e-24
ENHA_SRF	True	False	False	1.1	0.5823529411764705	10	-0.846050153224634	1.6988848194520402e-17	False											8.10940765017665	5.77084569556457e-57
ENHA_ATF7	True	False	False	1.1	-1.0568627450980392	6	-0.501987522519082	0.0001100704769483	False											8.271390978081525	6.424438845917204e-32
ENHA_HIC2	True	False	False	1.1333333333333335	-0.6111111111111112	1	-0.742373387918475	0.0050959680607574	False											9.61194590150762	5.82610295555706e-58
ENHA_RBPJ	True	False	False	1.1	0.23725490196078436	21	0.115047690168036	0.250723186308428	False											7.09051837735177	6.665778825719021e-45
